impact_id,event_id,affected_people,economic_loss_musd
1,999,250020.0,989.93
2,225,2198805.0,1699.75
3,183,1645062.0,
4,933,849845.0,4157.4
5,389,,
6,468,,4047.63
7,964,,4392.06
8,122,1212585.0,3974.7
9,546,,
10,652,2052431.0,3815.65
11,875,,
12,254,,
13,215,,3955.2
14,172,,
15,511,,
16,539,,
17,654,4899801.0,1036.79
18,463,,
19,911,3164201.0,
20,261,4619364.0,672.52
21,303,,1151.66
22,477,,
23,443,,
24,280,3208559.0,898.65
25,272,,
26,863,4210109.0,3929.58
27,101,995787.0,1801.82
28,342,,
29,196,,
30,289,,4729.13
31,484,4301394.0,4327.47
32,233,,
33,740,,
34,867,,
35,215,,4264.87
36,384,1166598.0,1528.55
37,512,,
38,703,,1631.07
39,582,271188.0,
40,582,,4900.88
41,972,3277893.0,2672.92
42,487,,
43,655,2556551.0,857.95
44,33,4099785.0,934.27
45,934,,
46,676,4399949.0,
47,531,93669.0,
48,401,1318308.0,
49,490,,4775.53
50,134,,
51,163,,
52,283,1693005.0,
53,66,3350041.0,
54,472,3882370.0,
55,662,,
56,401,,
57,469,3227803.0,3492.91
58,403,367284.0,4427.82
59,281,,3333.62
60,715,,2056.98
61,378,643010.0,
62,420,3783725.0,1264.58
63,474,225125.0,
64,391,,
65,39,,574.3
66,335,,2307.32
67,562,,
68,862,1354640.0,4192.64
69,182,2468464.0,
70,173,651832.0,3387.24
71,452,3004851.0,1084.15
72,915,4466246.0,2210.85
73,857,4387188.0,
74,455,440691.0,
75,786,1693301.0,1873.85
76,205,767604.0,2108.99
77,346,1612886.0,1103.62
78,817,1409303.0,221.02
79,836,,2810.71
80,640,,4694.68
81,238,1794316.0,1783.53
82,16,,60.89
83,470,1847300.0,
84,666,3096228.0,337.59
85,421,,4915.53
86,730,4498816.0,1260.45
87,615,,3389.82
88,341,,
89,70,2812066.0,
90,392,4287797.0,2517.6
91,239,178950.0,
92,776,2044009.0,
93,511,2489184.0,759.2
94,658,318984.0,
95,757,2758250.0,1391.35
96,534,,3753.0
97,868,,1212.0
98,929,2084210.0,
99,534,2699086.0,2212.36
100,67,4125194.0,4768.35
101,650,1188256.0,628.68
102,607,4605063.0,1182.31
103,437,,821.63
104,251,3557910.0,
105,293,,4838.66
106,279,4037352.0,
107,408,3169523.0,
108,518,3636878.0,
109,21,,
110,610,4507340.0,2764.71
111,264,,
112,385,,360.63
113,733,3937425.0,774.47
114,5,,
115,963,,
116,657,4936093.0,2044.53
117,944,,4660.72
118,199,,
119,522,,
120,949,3558108.0,1212.52
121,944,3032762.0,3487.66
122,268,3821765.0,1272.19
123,13,980207.0,
124,408,4918070.0,2593.17
125,898,3548918.0,
126,709,,
127,771,746524.0,
128,834,,
129,716,2585533.0,
130,2,813610.0,
131,538,,3665.48
132,181,3143803.0,3520.53
133,499,1527595.0,2253.85
134,191,1686614.0,3749.83
135,266,,3134.56
136,890,1394567.0,
137,128,2322649.0,1711.42
138,490,4071105.0,
139,770,61621.0,485.11
140,385,,
141,776,,
142,323,,
143,626,,4365.51
144,4,,3626.38
145,27,,4755.36
146,378,,2575.06
147,4,2703671.0,3169.25
148,993,,
149,410,,
150,675,,1470.02
151,730,1201925.0,640.18
152,309,,
153,978,,3313.55
154,250,1776371.0,3766.51
155,109,3649150.0,
156,925,,
157,682,3996513.0,
158,93,2792738.0,4658.97
159,660,,
160,670,,4042.43
161,266,,439.31
162,349,4968737.0,3723.34
163,587,3085801.0,
164,591,,310.36
165,868,,
166,817,1060542.0,533.82
167,552,,
168,858,,3400.22
169,616,2378271.0,3735.55
170,614,,2512.39
171,281,,3155.75
172,507,,
173,157,1767750.0,3502.34
174,946,,
175,835,1336409.0,
176,433,,
177,74,,1412.54
178,718,,
179,771,4869611.0,
180,469,1374168.0,
181,299,1215862.0,1091.46
182,753,,3630.06
183,695,,
184,696,1412156.0,
185,184,441168.0,
186,608,3640157.0,
187,251,286152.0,
188,310,,3879.47
189,797,,
190,377,98328.0,584.02
191,501,4277080.0,
192,281,794170.0,
193,306,4794444.0,498.11
194,731,4509969.0,2027.25
195,404,,320.59
196,772,1741332.0,904.14
197,6,,4002.76
198,41,1081586.0,3263.55
199,576,2154863.0,423.97
200,519,,4831.41
201,434,1717.0,
202,675,,
203,712,,3031.25
204,705,831548.0,1186.26
205,146,2515143.0,4787.16
206,606,,
207,77,,1304.11
208,410,3826773.0,
209,963,1202617.0,
210,649,,2818.65
211,430,,
212,389,218347.0,388.55
213,545,,330.73
214,372,,732.5
215,281,83739.0,1886.4
216,388,881826.0,
217,603,4108218.0,
218,565,2274765.0,4482.95
219,326,3268894.0,
220,489,4969657.0,1296.05
221,674,1061054.0,
222,55,3106049.0,
223,724,3841192.0,
224,818,,
225,534,,3178.54
226,971,,3853.12
227,650,667683.0,3650.04
228,170,4827106.0,
229,568,4135329.0,
230,694,4268136.0,2398.8
231,416,117603.0,4554.52
232,732,,1221.89
233,622,3764566.0,3372.94
234,180,,
235,976,,2478.04
236,383,,4570.31
237,852,4523463.0,
238,301,2221890.0,
239,223,2558013.0,
240,59,2985197.0,
241,306,2969667.0,26.77
242,412,2975032.0,
243,203,711882.0,
244,8,,
245,384,,2142.28
246,550,2261576.0,
247,166,,3735.71
248,368,1665841.0,948.65
249,137,,3719.88
250,165,,
251,122,,2751.07
252,333,,657.96
253,812,178437.0,778.55
254,786,1984947.0,
255,440,,
256,498,,1239.49
257,747,4289590.0,1248.08
258,885,2211655.0,
259,204,3976301.0,3506.02
260,194,4960313.0,1147.69
261,411,,4952.0
262,437,149154.0,455.59
263,390,,3501.09
264,228,,
265,660,,
266,288,,1235.6
267,187,344002.0,
268,218,,1401.52
269,442,,
270,343,2554129.0,485.34
271,700,4629567.0,
272,761,,
273,216,,437.07
274,134,1010605.0,2933.22
275,198,3740388.0,
276,309,3978865.0,2668.25
277,45,1073332.0,
278,913,,
279,645,,
280,537,4227763.0,
281,714,,228.18
282,814,,2475.63
283,170,,
284,411,2278458.0,921.15
285,586,1828103.0,
286,516,,1517.75
287,304,2253464.0,856.37
288,547,,196.41
289,965,2330990.0,1352.9
290,658,2089831.0,2673.44
291,665,,
292,740,,
293,333,481360.0,4119.83
294,749,2347208.0,1280.68
295,551,4893749.0,
296,969,2159767.0,4084.42
297,333,2255803.0,
298,160,3742788.0,
299,378,,469.36
300,471,1553127.0,
301,966,,106.22
302,907,,3437.15
303,72,1204952.0,
304,931,3377450.0,3621.81
305,745,99889.0,1890.0
306,113,114682.0,661.76
307,275,1197514.0,3962.21
308,981,,4263.75
309,208,,
310,836,,1659.45
311,250,,3137.8
312,22,374509.0,2723.67
313,524,3484660.0,7.05
314,25,,
315,672,2407240.0,
316,704,,848.63
317,230,,
318,122,3025038.0,4478.04
319,183,,
320,154,,1742.58
321,278,,4664.48
322,808,19276.0,3889.14
323,328,,
324,835,565667.0,
325,149,,4973.86
326,786,,
327,493,,691.97
328,393,,
329,546,4499076.0,
330,540,4848578.0,3515.76
331,371,25042.0,4969.53
332,372,,4788.12
333,62,,4243.91
334,302,3863017.0,
335,249,1768793.0,280.27
336,121,,
337,381,454683.0,3314.07
338,489,4983209.0,
339,145,663643.0,
340,154,,
341,482,,2220.42
342,294,934372.0,300.94
343,619,1457096.0,
344,697,,
345,727,,
346,997,,4889.65
347,761,,3095.6
348,402,1541935.0,
349,489,,4136.44
350,56,,974.46
351,107,,
352,29,,814.64
353,67,1778629.0,
354,193,4628922.0,3192.31
355,247,2258944.0,4883.34
356,578,4059467.0,241.2
357,967,2589765.0,
358,982,3340810.0,
359,744,2985979.0,3513.58
360,340,3417567.0,2511.38
361,25,,2385.29
362,298,1353436.0,3412.19
363,907,783580.0,4422.13
364,788,,2237.95
365,348,,
366,41,3252711.0,1044.89
367,982,,487.93
368,147,2597629.0,
369,322,,
370,591,,447.06
371,728,,
372,782,3709145.0,
373,41,,2005.3
374,452,,
375,519,,4387.17
376,636,479642.0,3499.03
377,159,,
378,875,613189.0,
379,686,,
380,112,720931.0,
381,787,3634226.0,2008.2
382,325,,
383,118,,192.37
384,972,3943373.0,
385,582,,
386,809,,1067.89
387,889,,1349.97
388,86,1189983.0,1370.25
389,306,,
390,189,451822.0,
391,351,2491619.0,
392,494,3989778.0,
393,364,,4115.26
394,80,4853720.0,
395,15,,
396,886,2655221.0,
397,270,4368878.0,4941.2
398,650,3770241.0,183.39
399,431,4581903.0,3005.12
400,357,1760620.0,4858.75
401,380,3052729.0,
402,515,,
403,424,,
404,536,2818117.0,
405,439,3130969.0,2764.22
406,556,,
407,650,2377059.0,4976.82
408,92,,519.27
409,649,3726408.0,
410,217,,2758.39
411,201,3940074.0,
412,423,3321282.0,4698.14
413,520,,
414,315,3479894.0,
415,34,131275.0,
416,861,,
417,248,,
418,849,,
419,746,,4520.95
420,448,1938512.0,3550.41
421,517,,
422,858,4639107.0,4743.55
423,96,783366.0,2187.67
424,29,4561655.0,2859.4
425,761,,
426,192,2011932.0,1485.32
427,744,,
428,85,1207026.0,3192.29
429,114,3852442.0,
430,269,1516214.0,
431,935,,504.26
432,424,,4796.13
433,216,,
434,828,1352435.0,1494.48
435,676,4759805.0,
436,356,4060339.0,
437,949,1021001.0,3030.95
438,531,4293825.0,
439,118,1820973.0,1638.37
440,86,,1369.06
441,977,,
442,479,,
443,945,,
444,985,3296262.0,
445,170,,
446,434,,
447,440,,1870.43
448,461,1403986.0,
449,601,,
450,408,252154.0,
451,440,,1227.35
452,673,,
453,126,,
454,219,,4493.82
455,395,2380128.0,2636.78
456,575,2333439.0,
457,699,,4067.16
458,202,,
459,432,1001417.0,
460,606,3212641.0,
461,19,4830814.0,
462,135,3380021.0,4479.25
463,346,137501.0,
464,741,,
465,410,,2469.6
466,403,,2467.19
467,864,3137551.0,147.41
468,846,88208.0,
469,883,3655769.0,851.79
470,742,3095385.0,4670.62
471,266,362349.0,
472,77,,
473,277,1429903.0,2917.68
474,130,2679756.0,
475,653,3748860.0,2609.3
476,592,,
477,792,4050234.0,
478,729,,2793.02
479,676,1728140.0,
480,62,1783373.0,
481,839,3231119.0,
482,214,,
483,726,3809612.0,4239.19
484,937,1092026.0,
485,999,3796273.0,3900.33
486,71,,
487,975,4843259.0,737.3
488,763,925417.0,
489,192,2238717.0,
490,361,2228835.0,4634.71
491,363,3620463.0,
492,521,2800609.0,
493,101,,
494,199,2467300.0,
495,543,,546.81
496,662,2089295.0,1098.68
497,917,,1194.6
498,283,,1960.15
499,226,,1029.32
500,356,,3669.68
501,190,,3695.71
502,175,2644355.0,
503,922,3819631.0,
504,439,2803249.0,
505,903,646730.0,3396.34
506,609,,
507,895,,547.82
508,581,2439220.0,2626.82
509,774,1230626.0,
510,464,,
511,680,,1822.08
512,848,,
513,116,2265399.0,
514,877,1848637.0,1786.61
515,251,,1797.74
516,199,3170033.0,
517,982,4421015.0,
518,910,,
519,317,1599639.0,
520,855,,
521,296,925345.0,2495.14
522,478,,3119.35
523,311,,
524,16,3808238.0,1087.41
525,55,,
526,677,6383.0,
527,900,2377203.0,
528,147,,2926.54
529,298,1836912.0,
530,255,,1996.17
531,915,,2985.6
532,578,,4022.1
533,700,,679.32
534,309,2559492.0,
535,559,,
536,99,,
537,480,,
538,473,233137.0,
539,91,,
540,131,,
541,129,3381123.0,
542,860,456889.0,274.41
543,342,4986682.0,
544,708,2780209.0,608.09
545,719,1721205.0,
546,140,1876219.0,
547,737,,3118.7
548,118,564228.0,765.96
549,533,813551.0,
550,26,,1954.18
551,308,,4913.5
552,862,,
553,880,,732.09
554,190,1189549.0,854.71
555,488,,1447.96
556,983,,
557,401,3237499.0,
558,152,,
559,12,,
560,44,2976664.0,
561,284,77504.0,1789.38
562,358,,2565.71
563,672,,
564,471,,
565,946,3305513.0,
566,386,3958345.0,
567,133,,
568,70,377892.0,4260.3
569,238,810839.0,
570,332,1943252.0,528.05
571,746,,4611.96
572,627,2102210.0,188.05
573,453,3141041.0,
574,111,,666.95
575,201,,
576,231,1688727.0,2170.88
577,89,4884075.0,3145.95
578,209,279830.0,
579,793,3423781.0,
580,195,,
581,634,4687692.0,
582,438,3156108.0,2846.19
583,802,,
584,237,,
585,945,,3516.66
586,894,,374.81
587,874,,1996.7
588,560,,
589,669,252473.0,
590,206,2807335.0,
591,947,523849.0,2468.28
592,355,,2991.14
593,909,,
594,741,351148.0,178.96
595,666,,2388.49
596,22,465364.0,3868.29
597,548,3183540.0,2762.93
598,397,3165416.0,
599,563,1156702.0,
600,361,,2183.19
601,244,1947437.0,2943.5
602,423,4499119.0,4954.7
603,895,2097501.0,383.98
604,450,,
605,617,,
606,491,1027567.0,382.81
607,507,2995383.0,
608,965,,4344.99
609,540,,3489.16
610,56,,
611,287,659053.0,4560.33
612,313,4639612.0,614.62
613,37,,
614,976,959303.0,2495.04
615,277,,1502.76
616,62,,
617,394,3725707.0,
618,189,3617202.0,3302.35
619,555,2918595.0,
620,945,2203284.0,
621,744,,3913.28
622,827,,
623,880,,
624,167,,3728.42
625,136,,
626,88,,
627,40,,
628,802,104508.0,
629,857,2219933.0,2219.6
630,451,,
631,492,4670169.0,2043.65
632,284,,
633,185,,
634,131,1908728.0,735.36
635,239,961047.0,
636,594,2662994.0,2767.49
637,63,,
638,554,376248.0,1749.3
639,520,3723970.0,2555.67
640,209,,
641,74,,
642,622,,
643,482,2467779.0,802.4
644,298,1259821.0,532.05
645,828,,
646,851,4888926.0,3285.64
647,391,659044.0,4793.17
648,579,,2695.3
649,868,4428141.0,
650,325,2259068.0,
651,933,,
652,237,,3741.19
653,710,,
654,371,,2802.73
655,937,,
656,806,3514570.0,2847.14
657,948,4510849.0,
658,691,4906283.0,
659,350,2633717.0,
660,518,,3163.52
661,922,,78.55
662,429,,3714.53
663,891,,120.63
664,75,,
665,131,3375883.0,3560.21
666,345,2824945.0,4970.68
667,76,,
668,759,,3788.54
669,752,1539896.0,762.13
670,608,,
671,389,,
672,968,813844.0,
673,50,,
674,327,1497660.0,210.63
675,441,,
676,102,,
677,281,,1118.94
678,296,2177248.0,
679,145,806105.0,2761.27
680,29,334405.0,34.32
681,379,,
682,750,3732459.0,
683,941,920516.0,
684,506,2207678.0,
685,750,,4018.4
686,745,,
687,283,3804932.0,
688,914,,
689,195,4683271.0,4745.96
690,252,,4360.7
691,690,,
692,834,,1413.72
693,651,745167.0,16.99
694,503,4679638.0,3550.24
695,429,,3155.5
696,654,,2652.78
697,899,2518426.0,
698,502,,
699,99,1837522.0,
700,430,,
701,119,,4781.62
702,356,3340415.0,
703,861,,3436.42
704,298,2248508.0,
705,63,,
706,422,,
707,935,,2428.04
708,348,,2238.73
709,587,1397998.0,3897.98
710,971,2766591.0,3025.2
711,974,,
712,935,2959667.0,3275.0
713,371,4492870.0,
714,881,,
715,340,3468810.0,2765.2
716,963,115428.0,4227.56
717,514,,
718,309,204376.0,3158.15
719,35,2286545.0,
720,672,3362742.0,
721,883,713332.0,
722,21,124663.0,
723,199,,2126.34
724,310,,
725,993,,
726,96,,
727,292,4473838.0,
728,746,,3813.74
729,464,1880558.0,1987.35
730,458,,
731,341,1207040.0,477.85
732,213,4109836.0,
733,632,3973128.0,
734,259,,3702.82
735,38,,
736,707,,
737,983,,
738,527,4655060.0,
739,717,,637.29
740,166,4362564.0,
741,891,954487.0,
742,175,,
743,409,,
744,738,,
745,578,1393053.0,1451.69
746,823,,2361.08
747,959,2770726.0,
748,11,,
749,69,,3507.62
750,711,,1655.84
751,640,3932691.0,334.79
752,354,119526.0,
753,599,,
754,957,2137992.0,388.3
755,106,,892.45
756,130,,
757,990,3972224.0,841.33
758,222,767200.0,
759,896,,389.86
760,141,,
761,335,2539043.0,
762,387,,
763,544,656986.0,
764,729,,
765,712,2102673.0,
766,668,2921749.0,
767,876,,3642.73
768,632,4696892.0,1912.9
769,956,90526.0,2210.96
770,6,,
771,938,2129695.0,3034.27
772,663,,
773,281,481054.0,
774,623,,869.68
775,40,3100874.0,3064.99
776,723,1485009.0,415.04
777,58,3720324.0,
778,874,1629919.0,
779,920,,
780,427,516760.0,965.51
781,747,2237704.0,863.75
782,283,,865.67
783,319,,
784,582,,441.72
785,187,725923.0,1588.19
786,786,1421491.0,
787,472,682783.0,1539.6
788,766,,
789,183,2341114.0,
790,232,,4417.96
791,303,,
792,364,,
793,850,1431044.0,
794,160,4513641.0,
795,356,2422698.0,
796,93,4306641.0,
797,268,264805.0,2585.63
798,487,,
799,578,3171140.0,1612.54
800,645,3011538.0,
801,343,2825208.0,
802,314,,2734.34
803,450,,
804,855,,
805,495,,201.6
806,782,4253695.0,
807,977,,2965.79
808,525,,4433.09
809,975,4765630.0,
810,808,452307.0,1547.06
811,821,,
812,1,1238244.0,
813,315,675236.0,1181.68
814,448,757374.0,
815,6,4005252.0,
816,564,3306508.0,
817,852,3888985.0,3815.52
818,397,,3815.46
819,410,,
820,612,3304856.0,1734.99
821,228,1495514.0,
822,514,,4573.02
823,142,4194881.0,
824,446,,1920.95
825,436,,
826,36,,
827,699,4340834.0,2325.15
828,355,,4017.95
829,165,2677182.0,
830,703,3815233.0,
831,433,,2125.48
832,619,,
833,865,,559.25
834,435,,4351.7
835,154,,
836,203,,
837,289,335239.0,
838,376,,
839,692,2485239.0,2714.2
840,301,,
841,305,299760.0,1786.87
842,545,3324688.0,876.99
843,130,,
844,354,3843241.0,
845,42,,1864.6
846,624,,2563.65
847,346,,2004.3
848,974,2155681.0,
849,989,977647.0,
850,631,4313076.0,3471.59
851,384,,
852,282,,2508.31
853,620,3345291.0,
854,6,3416696.0,
855,673,,
856,100,1857597.0,
857,227,,
858,603,,
859,953,4678967.0,
860,355,3728755.0,
861,216,4465755.0,
862,413,271671.0,
863,86,,
864,463,3921668.0,780.35
865,640,,2077.55
866,770,,
867,944,4510654.0,1892.77
868,100,3320789.0,1057.31
869,585,2428235.0,
870,564,,
871,923,,3852.73
872,681,,
873,507,,
874,161,,
875,782,3893494.0,3417.08
876,393,,
877,194,244613.0,693.72
878,614,,
879,625,2097655.0,
880,701,,
881,566,4290392.0,4251.69
882,469,3096935.0,876.88
883,331,,325.0
884,212,,
885,248,,2501.57
886,823,2779803.0,1225.07
887,8,,
888,883,3233261.0,
889,905,4508546.0,3579.26
890,450,4034306.0,
891,849,,
892,439,1041664.0,
893,777,4864815.0,
894,423,2851739.0,
895,216,2219851.0,1650.8
896,470,4124646.0,
897,303,,
898,582,2310375.0,3806.85
899,535,2420529.0,
900,578,,1534.01
901,582,,
902,159,1079381.0,
903,264,1912915.0,
904,152,4901916.0,
905,489,,
906,536,,
907,664,,
908,15,,1124.9
909,230,,3043.6
910,666,,2494.45
911,861,4397623.0,
912,681,,
913,520,,2766.87
914,994,,2833.94
915,251,2149088.0,3448.81
916,234,3826759.0,
917,566,2328642.0,3715.81
918,928,,305.26
919,250,,2321.89
920,327,613825.0,
921,86,3994277.0,500.28
922,613,,
923,882,,3887.2
924,604,3828339.0,
925,616,,
926,520,,
927,271,4465333.0,
928,641,3692354.0,4886.17
929,500,,
930,508,1369440.0,
931,690,2556513.0,
932,351,4519021.0,968.78
933,782,1945502.0,
934,328,,
935,950,1765056.0,1619.5
936,785,3324901.0,4261.93
937,334,,
938,799,2260749.0,
939,957,,
940,745,,
941,577,,
942,57,,3229.32
943,999,,98.38
944,214,,4162.93
945,330,,1629.1
946,817,,4282.16
947,77,2040587.0,
948,965,,4760.27
949,800,,
950,61,851939.0,
951,551,,4618.11
952,484,1127461.0,
953,845,1274160.0,2949.45
954,576,,
955,571,,3448.16
956,791,,
957,927,3740980.0,
958,234,,
959,262,195098.0,
960,438,,3990.69
961,935,,
962,33,,
963,290,,3172.23
964,579,773955.0,2659.28
965,588,3930616.0,
966,838,,2256.99
967,667,2772843.0,
968,465,,
969,589,2465688.0,
970,20,72621.0,1612.6
971,266,,2662.29
972,789,,4466.32
973,194,1244894.0,1543.1
974,27,4475668.0,
975,978,,4352.91
976,674,1752602.0,
977,278,1955368.0,3861.95
978,141,3688975.0,
979,27,3725143.0,
980,450,3349549.0,
981,605,1046634.0,4846.25
982,167,1759570.0,
983,768,,955.71
984,819,,2390.42
985,968,3834205.0,
986,410,,
987,857,,
988,235,,4379.83
989,975,,227.8
990,182,4737034.0,640.61
991,144,3942074.0,306.85
992,888,,3088.16
993,430,1447363.0,4681.52
994,760,,4395.51
995,806,1363089.0,
996,414,,3109.95
997,803,,
998,36,,
999,781,4406735.0,791.7
1000,358,1869140.0,2099.99
613,37,,
469,883,3655769.0,851.79
356,578,4059467.0,241.2
587,874,,1996.7
939,957,,
984,819,,2390.42
603,895,2097501.0,383.98
210,649,,2818.65
307,275,1197514.0,3962.21
123,13,980207.0,
604,450,,
796,93,4306641.0,
861,216,4465755.0,
40,582,,4900.88
207,77,,1304.11
177,74,,1412.54
299,378,,469.36
9,546,,
506,609,,
27,101,995787.0,1801.82
565,946,3305513.0,
965,588,3930616.0,
611,287,659053.0,4560.33
131,538,,3665.48
994,760,,4395.51
369,322,,
410,217,,2758.39
865,640,,2077.55
823,142,4194881.0,
496,662,2089295.0,1098.68
98,929,2084210.0,
179,771,4869611.0,
652,237,,3741.19
533,700,,679.32
835,154,,
635,239,961047.0,
948,965,,4760.27
212,389,218347.0,388.55
695,429,,3155.5
995,806,1363089.0,
942,57,,3229.32
981,605,1046634.0,4846.25
643,482,2467779.0,802.4
987,857,,
780,427,516760.0,965.51
832,619,,
592,355,,2991.14
319,183,,
898,582,2310375.0,3806.85
568,70,377892.0,4260.3
894,423,2851739.0,
157,682,3996513.0,
6,468,,4047.63
201,434,1717.0,
325,149,,4973.86
340,154,,
318,122,3025038.0,4478.04
874,161,,
845,42,,1864.6
920,327,613825.0,
